- "臺北市北投區湖田國民小學","2.16.886.111.90003.90008.100004","02-28616963","臺北市北投區竹子湖路17之2號","o=湖田國民小學,l=北投區,l=臺北市,c=TW"
- "莊惠娟記帳士事務所","2.16.886.110.90028.100210","06-3313006","臺南市東區裕聖里裕忠一街118號1樓","o=莊惠娟記帳士事務所,l=臺南市,c=TW"
- "張東和記帳及報稅代理業務人事務所","2.16.886.110.90003.104258","02-25812588","台北市中山區吉林路150號10樓","o=張東和記帳及報稅代理業務人事務所,l=臺北市,c=TW"
- "誠源記帳士事務所","2.16.886.110.90027.100372","04-22423032","台中市北屯區遼寧路2段1號3樓","o=誠源記帳士事務所,l=臺中市,c=TW"
- "陳啟彰記帳士事務所","2.16.886.110.90028.100212","06-2604777","台南市東區崇善一街3巷6弄39號1樓","o=陳啟彰記帳士事務所,l=臺南市,c=TW"
- "承鼎記帳士事務所","2.16.886.110.90028.100215","06-2210000","台南市北區育成路317巷43號2樓","o=承鼎記帳士事務所,l=臺南市,c=TW"
- "贔陞記帳士事務所","2.16.886.110.90028.100218","06-2826256","台南市北區北成路178號","o=贔陞記帳士事務所,l=臺南市,c=TW"
- "臺北市私立景新非營利幼兒園(臺北市政府委託社團法人台北市兒童托育協會辦理)","2.16.886.111.90003.100813","02-29328566","臺北市文山區景後街151號2樓","o=私立景新非營利幼兒園(臺北市政府委託社團法人台北市兒童托育協會辦理),l=臺北市,c=TW"
- "桃園市肢體傷殘協進會","2.16.886.103.90030.100063","03-3348080","桃園市桃園區守法路25號","o=肢體傷殘協進會,l=桃園市,c=TW"
- "社團法人臺灣琉璃光幼兒教育協會附設新竹縣私立聚集德非營利幼兒園(新竹縣政府核准申請辦理)","2.16.886.103.101638.100000","03-5576131","新竹縣新豐鄉福德街1號","ou=附設新竹縣私立聚集德非營利幼兒園(新竹縣政府核准申請辦理),o=社團法人臺灣琉璃光幼兒教育協會,c=TW"
- "勵業記帳士事務所","2.16.886.110.90010.100266","04-7220015","彰化縣彰化市阿夷里福順街83號1樓","o=勵業記帳士事務所,l=彰化縣,c=TW"
- "淇心記帳士事務所","2.16.886.110.90028.100410","06-5981276","台南市新化區中山路582號","o=淇心記帳士事務所,l=臺南市,c=TW"
- "財團法人台灣水資源與農業研究院教育基金會","2.16.886.104.90026.100086","02-86311279","新北市淡水區淡水郵政1-8號信箱","o=財團法人台灣水資源與農業研究院教育基金會,l=新北市,c=TW"
- "財團法人三之三生命教育基金會附設新北市私立山北非營利幼兒園(新北市政府委託辦理)","2.16.886.111.90026.101036","02-22468097","新北市中和區莊敬路49巷29弄2號2樓","o=財團法人三之三生命教育基金會附設新北市私立山北非營利幼兒園(新北市政府委託辦理),l=新北市,c=TW"
- "浤博記帳士事務所","2.16.886.110.90028.100496","06-3571709","臺南市安南區海環街365巷10號","o=浤博記帳士事務所,l=臺南市,c=TW"
- "資記帳士事務所","2.16.886.110.90030.100456","0930-871567","桃園市桃園區三民路一段177號14樓","o=資記帳士事務所,l=桃園市,c=TW"
- "有望記帳士事務所","2.16.886.110.90028.100585","06-7833831","臺南市學甲區八德街234號","o=有望記帳士事務所,l=臺南市,c=TW"
+ "大台南百貨服務業職業工會","2.16.886.103.90028.100528","06-2013547","臺南市永康區永科七路19號","o=大台南百貨服務業職業工會,l=臺南市,c=TW"
+ "臺灣藝術創意無極限協會","2.16.886.119.103222","0960-733237","新北市新店區中央路155號10樓之1","o=臺灣藝術創意無極限協會,c=TW"
+ "社團法人台灣綠能公益發展協會","2.16.886.103.102489","02-89796121","臺北市中山區民權西路70號5樓之1","o=社團法人台灣綠能公益發展協會,c=TW"
+ "社團法人中華王爺慈善會","2.16.886.103.102490","02-89661533","新北市土城區德興街107號","o=社團法人中華王爺慈善會,c=TW"
+ "社團法人台灣康復輔具及照護技術交流協會","2.16.886.103.102491","0906-651061","高雄市岡山區柳橋西路64-1號","o=社團法人台灣康復輔具及照護技術交流協會,c=TW"
+ "中華社團領袖聯合總會","2.16.886.119.103223","02-28866868","新北市永和區永元路17巷5號4樓","o=中華社團領袖聯合總會,c=TW"
+ "王福君建築師事務所","2.16.886.110.90027.101384","04-22067179","臺中市北區民權路452號","o=王福君建築師事務所,l=臺中市,c=TW"
+ "王銘顯建築師事務所","2.16.886.110.90027.101385","04-22378365","臺中市西區五權七街200號5樓","o=王銘顯建築師事務所,l=臺中市,c=TW"
+ "台灣有機產業促進協會","2.16.886.119.103224","08-7703202","屏東縣內埔鄉學府路1號國立屏東科技大學農園生產系有機農業研究室","o=台灣有機產業促進協會,c=TW"
+ "財團法人臺灣省嘉義縣私立協同高級中學附設嘉義縣私立協同幼兒園","2.16.886.111.90013.100055","05-2213044","嘉義縣民雄鄉建國路二段31號","o=財團法人臺灣省嘉義縣私立協同高級中學附設嘉義縣私立協同幼兒園,l=嘉義縣,c=TW"
+ "新北市文仁非營利幼兒園（委託社團法人臺灣兒童教育發展協會辦理）","2.16.886.111.90026.101083","02-26010137","新北市林口區民治路3號","o=文仁非營利幼兒園（委託社團法人臺灣兒童教育發展協會辦理）,l=新北市,c=TW"
+ "信通記帳及報稅代理人事務所","2.16.886.110.90027.101386","04-22878858","臺中市南區信義南街282巷18號","o=信通記帳及報稅代理人事務所,l=臺中市,c=TW"
+ "臺北市私立新領航文理短期補習班","2.16.886.119.90003.102309","02-89317588","臺北市文山區景仁里景仁街20巷19號1樓","o=私立新領航文理短期補習班,l=臺北市,c=TW"
+ "榮力土木結構大地技師事務所","2.16.886.110.90027.101387","04-24615800","臺中市西屯區福康路119巷23號7樓之2","o=榮力土木結構大地技師事務所,l=臺中市,c=TW"
+ "泓安聯合交通技師事務所","2.16.886.110.90030.100560","0915-770920","桃園市桃園區育仁街34號3樓","o=泓安聯合交通技師事務所,l=桃園市,c=TW"
+ "新竹縣私立綠菓藝術幼兒園","2.16.886.111.90005.100224","03-6673059","新竹縣竹北市東平里4鄰嘉豐五路二段51號","o=私立綠菓藝術幼兒園,l=新竹縣,c=TW"
+ "理得藥局","2.16.886.110.90003.105367","02-28289680","臺北市北投區石牌路一段150號1樓","o=理得藥局,l=臺北市,c=TW"
+ "私立學風文理短期補習班","2.16.886.119.90011.100208","049-2367060","南投縣草屯鎮炎峰街127號1、2樓","o=私立學風文理短期補習班,l=南投縣,c=TW"
+ "詹勝凱建築師事務所","2.16.886.110.90011.100098","049-2392757","南投縣草屯鎮民生路148號","o=詹勝凱建築師事務所,l=南投縣,c=TW"
+ "宜蘭縣私立合家歡綜合長照機構","2.16.886.119.90020.100170","03-9561688","宜蘭縣羅東鎮忠孝路50號","o=私立合家歡綜合長照機構,l=宜蘭縣,c=TW"
+ "臺北市體育總會沙灘角力協會","2.16.886.119.90003.102310","0919-992366","臺北市萬華區東園街154巷13號1樓","o=體育總會沙灘角力協會,l=臺北市,c=TW"
+ "保證責任屏東縣大盛農產運銷合作社","2.16.886.103.90019.100331","0988-257728","屏東縣內埔鄉老埤村昌南路155-6號1樓","o=保證責任屏東縣大盛農產運銷合作社,l=屏東縣,c=TW"
+ "桃園市私立雲隼居家長照機構","2.16.886.119.90030.100691","03-4881300","桃園市楊梅區中山北路一段319號","o=私立雲隼居家長照機構,l=桃園市,c=TW"
+ "陳金雀地政士事務所","2.16.886.110.90029.100846","07-5569798","高雄市左營區至聖路151號2樓","o=陳金雀地政士事務所,l=高雄市,c=TW"
+ "彰化縣二鹿慢跑協會","2.16.886.119.90010.100382","04-7524868","彰化縣鹿港鎮大有里民族路272號","o=二鹿慢跑協會,l=彰化縣,c=TW"
+ "加拿大商馬斯頓生存有限公司(在臺辦事處)","2.16.886.119.103225","02-27890887","臺北市南港區忠孝東路六段21號5樓","o=加拿大商馬斯頓生存有限公司(在臺辦事處),c=TW"
